Business Name,Charter No.,Type,Status,Created,Registered Agent Name
"ALLEN BOYD CONCRETE, INC. (previous name)",CC0417055,Close Corporation (Domestic),Good Standing,10/3/95,"BOYD, ALLEN PATRICK"
"A & K CONSTRUCTION SERVICES, INC.",F00983853,Gen. Business - For Profit (Foreign),Good Standing,7/23/09,C T CORPORATION SYSTEM
"A & K CONSTRUCTION, INC.",,,,,
A & M Manufacturing LLC,FL0891668,Limited Liability Company (Foreign),Active,4/30/08,"Eubank, Odell"
A & M Sports Products LLC,,,,,
"A & S ELECTRIC, INC.",F00328894,Gen. Business - For Profit (Foreign),Good Standing,6/7/89,Rex McCormick
"APPLE ELECTRIC, INC.",,,,,
A 1 Energy of Missouri LLC,FL1198977,Limited Liability Company (Foreign),Active,1/23/12,CSC-LAWYERS INCORPORATING SERVICE COMPANY
A 1 ENERGY LLC,,,,,
"A CARING DOCTOR, P.C.",W00441331,Professional Corporation (Foreign),Good Standing,5/15/97,"NATIONAL REGISTERED AGENTS, INC."
"A CARING DOCTOR (MINNESOTA), P.A.",,,,,
A CHILD SAFE HOME LLC,FL0047284,Limited Liability Company (Foreign),Active,2/1/01,"Fanska, Janet"
A CHILD SAFE HOME LLC,,,,,
"A F Solutions, LLC",FL0526846,Limited Liability Company (Foreign),Active,6/18/03,"Larson, Janet  "
"Advanced Financial Solutions, LLC",,,,,
A M SALON EQUIPMENT CO.,115092,Gen. Business - For Profit (Domestic),Good Standing,12/29/64,Keith J Wilso
"A. M. BEAUTY SUPPLY COMPANY, INC. (previous name)",,,,,
"A P D Engineering and Architecture, LLC",FL0931323,Limited Liability Company (Foreign),Active,11/18/08,CSC-LAWYERS INCORPORATING SERVICE COMPANY
"A P D Engineering and Architecture, PLLC",,,,,
